Measure,PatientAge,bmdtest_height,bmdtest_weight,bmdtest_tscore_fn,PatientGender,parentbreak,ptunsteady,whereliv,education,alcohol,wasfractdue2fall,ptfall,fxworried,notworking,marital,arthritis,cancer,diabetes,heartdisease,respdisease,howbreak,hip,ankle,clavicle,elbow,femur,spine,wrist,shoulder,tibfib
count,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0
mean,71.05494505494505,159.69034838766768,71.64897769024408,-1.907909645909646,1.133089133089133,0.27350427350427353,0.29304029304029305,1.8644688644688645,3.3846153846153846,0.06105006105006105,0.9816849816849816,0.23931623931623933,0.8644688644688645,1.155067155067155,3.070818070818071,0.11477411477411477,0.05372405372405373,0.13064713064713065,0.15018315018315018,0.06593406593406594,1.0,0.05860805860805861,0.017094017094017096,0.02197802197802198,0.07203907203907203,0.017094017094017096,0.004884004884004884,0.5421245421245421,0.24053724053724054,0.017094017094017096
std,11.966667615902754,9.077463047410193,16.898841558492947,1.10188416389953,0.3398785999525807,0.6911376139290827,0.5229107102019684,0.6992451780435552,1.0511643060649116,0.418034019256934,0.1591745006872629,0.485856208786259,0.6833292976608081,0.6827479992266584,1.7875871076258956,0.3189439197956491,0.2256101253280542,0.33721996807920795,0.3574691542550953,0.2483184534566277,0.0,0.23503319535304748,0.12970100919297994,0.14670128158964277,0.2587105857433475,0.12970100919297822,0.0697573858860318,0.4985268068372423,0.4276709021038425,0.12970100919297914
min,50.0,137.0,37.3,-6.9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,60.0,153.0,60.0,-2.7,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,71.0,159.0,71.0,-2.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75%,81.0,165.0,81.41455597000001,-1.1,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
max,98.0,220.98,142.8,1.9,2.0,4.0,4.0,7.0,7.0,4.0,2.0,4.0,3.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dtype,int64,float64,float64,float64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64
%_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
